nivel,dicofre,designacao,wiki_image_large,codigo,wikipedia,brasao
2,0101,Águeda,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/AGD1.png/100px-AGD1.png,AGD,https://pt.wikipedia.org/wiki/%C3%81gueda,https://dados.gov.pt/s/brasoes/0101.png
2,0102,Albergaria-a-Velha,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/ABV.png/100px-ABV.png,ALB,https://pt.wikipedia.org/wiki/Albergaria-a-Velha,https://dados.gov.pt/s/brasoes/0102.png
2,0103,Anadia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Coat_of_arms_of_Anadia.png/100px-Coat_of_arms_of_Anadia.png,,https://pt.wikipedia.org/wiki/Anadia_(Portugal),https://dados.gov.pt/s/brasoes/0103.png
2,0104,Arouca,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/ARC.png/100px-ARC.png,ARC,https://pt.wikipedia.org/wiki/Arouca,https://dados.gov.pt/s/brasoes/0104.png
2,0105,Aveiro,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/AVR.png/100px-AVR.png,AVR,https://pt.wikipedia.org/wiki/Aveiro,https://dados.gov.pt/s/brasoes/0105.png
2,0106,Castelo de Paiva,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/CPV.png/100px-CPV.png,CPV,https://pt.wikipedia.org/wiki/Castelo_de_Paiva,https://dados.gov.pt/s/brasoes/0106.png
2,0107,Espinho,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/ESP1.png/100px-ESP1.png,ESP,https://pt.wikipedia.org/wiki/Espinho_(Portugal),https://dados.gov.pt/s/brasoes/0107.png
2,0108,Estarreja,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/ETR.png/100px-ETR.png,ETR,https://pt.wikipedia.org/wiki/Estarreja,https://dados.gov.pt/s/brasoes/0108.png
2,0109,Santa Maria da Feira,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/VFR1.png/100px-VFR1.png,VFR,https://pt.wikipedia.org/wiki/Santa_Maria_da_Feira,https://dados.gov.pt/s/brasoes/0109.png
2,0110,Ílhavo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/ILH1.png/100px-ILH1.png,ILH,https://pt.wikipedia.org/wiki/%C3%8Dlhavo,https://dados.gov.pt/s/brasoes/0110.png
2,0111,Mealhada,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/MLD.png/100px-MLD.png,MLD,https://pt.wikipedia.org/wiki/Mealhada,https://dados.gov.pt/s/brasoes/0111.png
2,0112,Murtosa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/MRS.png/100px-MRS.png,MRS,https://pt.wikipedia.org/wiki/Murtosa,https://dados.gov.pt/s/brasoes/0112.png
2,0113,Oliveira de Azeméis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/OAZ.png/100px-OAZ.png,OAZ,https://pt.wikipedia.org/wiki/Oliveira_de_Azem%C3%A9is,https://dados.gov.pt/s/brasoes/0113.png
2,0114,Oliveira do Bairro,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/OBR1.png/100px-OBR1.png,OBR,https://pt.wikipedia.org/wiki/Oliveira_do_Bairro,https://dados.gov.pt/s/brasoes/0114.png
2,0115,Ovar,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/OVR.png/100px-OVR.png,OVR,https://pt.wikipedia.org/wiki/Ovar,https://dados.gov.pt/s/brasoes/0115.png
2,0116,São João da Madeira,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/SJM.png/100px-SJM.png,SJM,https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_da_Madeira,https://dados.gov.pt/s/brasoes/0116.png
2,0117,Sever do Vouga,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/SVV.png/100px-SVV.png,SVV,https://pt.wikipedia.org/wiki/Sever_do_Vouga,https://dados.gov.pt/s/brasoes/0117.png
2,0118,Vagos,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/VGS.png/100px-VGS.png,VGS,https://pt.wikipedia.org/wiki/Vagos,https://dados.gov.pt/s/brasoes/0118.png
2,0119,Vale de Cambra,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/VAC1.png/100px-VAC1.png,VLC,https://pt.wikipedia.org/wiki/Vale_de_Cambra,https://dados.gov.pt/s/brasoes/0119.png
2,0201,Aljustrel,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/AJT.png/100px-AJT.png,AJT,https://pt.wikipedia.org/wiki/Aljustrel,https://dados.gov.pt/s/brasoes/0201.png
2,0202,Almodôvar,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/ADV.png/100px-ADV.png,ADV,https://pt.wikipedia.org/wiki/Almod%C3%B4var,https://dados.gov.pt/s/brasoes/0202.png
2,0203,Alvito,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/AVT.png/100px-AVT.png,AVT,https://pt.wikipedia.org/wiki/Alvito,https://dados.gov.pt/s/brasoes/0203.png
2,0204,Barrancos,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/BRC.png/100px-BRC.png,BRC,https://pt.wikipedia.org/wiki/Barrancos,https://dados.gov.pt/s/brasoes/0204.png
2,0205,Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/BJA.png/100px-BJA.png,BJA,https://pt.wikipedia.org/wiki/Beja,https://dados.gov.pt/s/brasoes/0205.png
2,0206,Castro Verde,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/CVR.png/100px-CVR.png,CVR,https://pt.wikipedia.org/wiki/Castro_Verde,https://dados.gov.pt/s/brasoes/0206.png
2,0207,Cuba,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CBA.png/100px-CBA.png,CBA,https://pt.wikipedia.org/wiki/Cuba_(Portugal),https://dados.gov.pt/s/brasoes/0207.png
2,0208,Ferreira do Alentejo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/FAL.png/100px-FAL.png,FAL,https://pt.wikipedia.org/wiki/Ferreira_do_Alentejo,https://dados.gov.pt/s/brasoes/0208.png
2,0209,Mértola,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/MTL.png/100px-MTL.png,MTL,https://pt.wikipedia.org/wiki/M%C3%A9rtola,https://dados.gov.pt/s/brasoes/0209.png
2,0210,Moura,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/MRA1.png/100px-MRA1.png,MRA,https://pt.wikipedia.org/wiki/Moura,https://dados.gov.pt/s/brasoes/0210.png
2,0211,Odemira,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/ODM.png/100px-ODM.png,ODM,https://pt.wikipedia.org/wiki/Odemira,https://dados.gov.pt/s/brasoes/0211.png
2,0212,Ourique,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/ORQ.png/100px-ORQ.png,ORQ,https://pt.wikipedia.org/wiki/Ourique,https://dados.gov.pt/s/brasoes/0212.png
2,0213,Serpa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/SRP.png/100px-SRP.png,SRP,https://pt.wikipedia.org/wiki/Serpa,https://dados.gov.pt/s/brasoes/0213.png
2,0214,Vidigueira,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/VDG.png/100px-VDG.png,VDG,https://pt.wikipedia.org/wiki/Vidigueira,https://dados.gov.pt/s/brasoes/0214.png
2,0301,Amares,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/AMR.png/100px-AMR.png,AMR,https://pt.wikipedia.org/wiki/Amares,https://dados.gov.pt/s/brasoes/0301.png
2,0302,Barcelos,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/BCL.png/100px-BCL.png,BCL,https://pt.wikipedia.org/wiki/Barcelos,https://dados.gov.pt/s/brasoes/0302.png
2,0303,Braga,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/BRG.png/100px-BRG.png,BRG,https://pt.wikipedia.org/wiki/Braga,https://dados.gov.pt/s/brasoes/0303.png
2,0304,Cabeceiras de Basto,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/CBC.png/100px-CBC.png,CBC,https://pt.wikipedia.org/wiki/Cabeceiras_de_Basto,https://dados.gov.pt/s/brasoes/0304.png
2,0305,Celorico de Basto,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/CBT.png/100px-CBT.png,CBT,https://pt.wikipedia.org/wiki/Celorico_de_Basto,https://dados.gov.pt/s/brasoes/0305.png
2,0306,Esposende,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/EPS1.png/100px-EPS1.png,EPS,https://pt.wikipedia.org/wiki/Esposende,https://dados.gov.pt/s/brasoes/0306.png
2,0307,Fafe,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/FAF1.png/100px-FAF1.png,FAF,https://pt.wikipedia.org/wiki/Fafe,https://dados.gov.pt/s/brasoes/0307.png
2,0308,Guimarães,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/GMR.png/100px-GMR.png,GMR,https://pt.wikipedia.org/wiki/Guimar%C3%A3es,https://dados.gov.pt/s/brasoes/0308.png
2,0309,Póvoa de Lanhoso,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/PVL.png/100px-PVL.png,PVL,https://pt.wikipedia.org/wiki/P%C3%B3voa_de_Lanhoso,https://dados.gov.pt/s/brasoes/0309.png
2,0310,Terras de Bouro,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/TBR.png/100px-TBR.png,TBR,https://pt.wikipedia.org/wiki/Terras_de_Bouro,https://dados.gov.pt/s/brasoes/0310.png
2,0311,Vieira do Minho,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Crest_of_Vieira_do_Minho_municipality_%28Portugal%29.png/100px-Crest_of_Vieira_do_Minho_municipality_%28Portugal%29.png,VRM,https://pt.wikipedia.org/wiki/Vieira_do_Minho,https://dados.gov.pt/s/brasoes/0311.png
2,0312,Vila Nova de Famalicão,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/VNF1.png/100px-VNF1.png,VNF,https://pt.wikipedia.org/wiki/Vila_Nova_de_Famalic%C3%A3o,https://dados.gov.pt/s/brasoes/0312.png
2,0313,Vila Verde,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Crest_of_Vila_Verde_municipality_%28Portugal%29.png/100px-Crest_of_Vila_Verde_municipality_%28Portugal%29.png,VVD,https://pt.wikipedia.org/wiki/Vila_Verde,https://dados.gov.pt/s/brasoes/0313.png
2,0314,Vizela,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/VIZ.png/100px-VIZ.png,VIZ,https://pt.wikipedia.org/wiki/Vizela,https://dados.gov.pt/s/brasoes/0314.png
2,0401,Alfândega da Fé,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/AFE.png/100px-AFE.png,AFE,https://pt.wikipedia.org/wiki/Alf%C3%A2ndega_da_F%C3%A9,https://dados.gov.pt/s/brasoes/0401.png
2,0402,Bragança,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bras%C3%A3o_de_Bragan%C3%A7a.png/100px-Bras%C3%A3o_de_Bragan%C3%A7a.png,BGC,https://pt.wikipedia.org/wiki/Bragan%C3%A7a_(Portugal),https://dados.gov.pt/s/brasoes/0402.png
2,0403,Carrazeda de Ansiães,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/CRZ.png/100px-CRZ.png,CRZ,https://pt.wikipedia.org/wiki/Carrazeda_de_Ansi%C3%A3es,https://dados.gov.pt/s/brasoes/0403.png
2,0404,Freixo de Espada à Cinta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/FEC.png/100px-FEC.png,FEC,https://pt.wikipedia.org/wiki/Freixo_de_Espada_%C3%A0_Cinta,https://dados.gov.pt/s/brasoes/0404.png
2,0405,Macedo de Cavaleiros,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/MCD1.png/100px-MCD1.png,MCD,https://pt.wikipedia.org/wiki/Macedo_de_Cavaleiros,https://dados.gov.pt/s/brasoes/0405.png
2,0406,Miranda do Douro,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/MDR.png/100px-MDR.png,MDR,https://pt.wikipedia.org/wiki/Miranda_do_Douro,https://dados.gov.pt/s/brasoes/0406.png
2,0407,Mirandela,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/MDL1.png/100px-MDL1.png,MDL,https://pt.wikipedia.org/wiki/Mirandela,https://dados.gov.pt/s/brasoes/0407.png
2,0408,Mogadouro,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/MGD.png/100px-MGD.png,MGD,https://pt.wikipedia.org/wiki/Mogadouro,https://dados.gov.pt/s/brasoes/0408.png
2,0409,Torre de Moncorvo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/TMC.png/100px-TMC.png,TMC,https://pt.wikipedia.org/wiki/Torre_de_Moncorvo,https://dados.gov.pt/s/brasoes/0409.png
2,0410,Vila Flor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/VFL.png/100px-VFL.png,VFL,https://pt.wikipedia.org/wiki/Vila_Flor,https://dados.gov.pt/s/brasoes/0410.png
2,0411,Vimioso,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/VMS.png/100px-VMS.png,VMS,https://pt.wikipedia.org/wiki/Vimioso,https://dados.gov.pt/s/brasoes/0411.png
2,0412,Vinhais,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/VNH.png/100px-VNH.png,VNH,https://pt.wikipedia.org/wiki/Vinhais_(Portugal),https://dados.gov.pt/s/brasoes/0412.png
2,0501,Belmonte,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/BMT.png/100px-BMT.png,BMT,https://pt.wikipedia.org/wiki/Belmonte_(Portugal),https://dados.gov.pt/s/brasoes/0501.png
2,0502,Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Coat_of_Arms_of_Castelo_Branco.png/100px-Coat_of_Arms_of_Castelo_Branco.png,CTB,https://pt.wikipedia.org/wiki/Castelo_Branco,https://dados.gov.pt/s/brasoes/0502.png
2,0503,Covilhã,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/CVL.png/100px-CVL.png,CVL,https://pt.wikipedia.org/wiki/Covilh%C3%A3,https://dados.gov.pt/s/brasoes/0503.png
2,0504,Fundão,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/FND1.png/100px-FND1.png,FND,https://pt.wikipedia.org/wiki/Fund%C3%A3o_(Castelo_Branco),https://dados.gov.pt/s/brasoes/0504.png
2,0505,Idanha-a-Nova,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/IDN.png/100px-IDN.png,IDN,https://pt.wikipedia.org/wiki/Idanha-a-Nova,https://dados.gov.pt/s/brasoes/0505.png
2,0506,Oleiros,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/OLR.png/100px-OLR.png,OLR,https://pt.wikipedia.org/wiki/Oleiros,https://dados.gov.pt/s/brasoes/0506.png
2,0507,Penamacor,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/PNC1.png/100px-PNC1.png,PNC,https://pt.wikipedia.org/wiki/Penamacor,https://dados.gov.pt/s/brasoes/0507.png
2,0508,Proença-a-Nova,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/PNV.png/100px-PNV.png,PNV,https://pt.wikipedia.org/wiki/Proen%C3%A7a-a-Nova,https://dados.gov.pt/s/brasoes/0508.png
2,0509,Sertã,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/SRT.png/100px-SRT.png,SRT,https://pt.wikipedia.org/wiki/Sert%C3%A3,https://dados.gov.pt/s/brasoes/0509.png
2,0510,Vila de Rei,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/VLR.png/100px-VLR.png,VLR,https://pt.wikipedia.org/wiki/Vila_de_Rei,https://dados.gov.pt/s/brasoes/0510.png
2,0511,Vila Velha de Ródão,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/VVR.png/100px-VVR.png,VVR,https://pt.wikipedia.org/wiki/Vila_Velha_de_R%C3%B3d%C3%A3o,https://dados.gov.pt/s/brasoes/0511.png
2,0601,Arganil,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/AGN.png/100px-AGN.png,AGN,https://pt.wikipedia.org/wiki/Arganil,https://dados.gov.pt/s/brasoes/0601.png
2,0602,Cantanhede,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/CNT1.png/100px-CNT1.png,CNT,https://pt.wikipedia.org/wiki/Cantanhede_(Portugal),https://dados.gov.pt/s/brasoes/0602.png
2,0603,Coimbra,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/CBR.png/100px-CBR.png,CBR,https://pt.wikipedia.org/wiki/Coimbra,https://dados.gov.pt/s/brasoes/0603.png
2,0604,Condeixa-a-Nova,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/CDN.png/100px-CDN.png,CDN,https://pt.wikipedia.org/wiki/Condeixa-a-Nova,https://dados.gov.pt/s/brasoes/0604.png
2,0605,Figueira da Foz,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/FIG.png/100px-FIG.png,FIG,https://pt.wikipedia.org/wiki/Figueira_da_Foz,https://dados.gov.pt/s/brasoes/0605.png
2,0606,Góis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/GOI.png/100px-GOI.png,GOI,https://pt.wikipedia.org/wiki/G%C3%B3is,https://dados.gov.pt/s/brasoes/0606.png
2,0607,Lousã,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/LSA.png/100px-LSA.png,LSA,https://pt.wikipedia.org/wiki/Lous%C3%A3,https://dados.gov.pt/s/brasoes/0607.png
2,0608,Mira,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/MIR.png/100px-MIR.png,MIR,https://pt.wikipedia.org/wiki/Mira_(Portugal),https://dados.gov.pt/s/brasoes/0608.png
2,0609,Miranda do Corvo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/MCV.png/100px-MCV.png,MCV,https://pt.wikipedia.org/wiki/Miranda_do_Corvo,https://dados.gov.pt/s/brasoes/0609.png
2,0610,Montemor-o-Velho,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/MMV.png/100px-MMV.png,MMV,https://pt.wikipedia.org/wiki/Montemor-o-Velho,https://dados.gov.pt/s/brasoes/0610.png
2,0611,Oliveira do Hospital,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/OHP1.png/100px-OHP1.png,OHP,https://pt.wikipedia.org/wiki/Oliveira_do_Hospital,https://dados.gov.pt/s/brasoes/0611.png
2,0612,Pampilhosa da Serra,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/PPS.png/100px-PPS.png,PPS,https://pt.wikipedia.org/wiki/Pampilhosa_da_Serra,https://dados.gov.pt/s/brasoes/0612.png
2,0613,Penacova,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/PCV.png/100px-PCV.png,PCV,https://pt.wikipedia.org/wiki/Penacova,https://dados.gov.pt/s/brasoes/0613.png
2,0614,Penela,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/PNL.png/100px-PNL.png,PNL,https://pt.wikipedia.org/wiki/Penela,https://dados.gov.pt/s/brasoes/0614.png
2,0615,Soure,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/SRE.png/100px-SRE.png,SRE,https://pt.wikipedia.org/wiki/Soure_(Portugal),https://dados.gov.pt/s/brasoes/0615.png
2,0616,Tábua,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/TBU.png/100px-TBU.png,TBU,https://pt.wikipedia.org/wiki/T%C3%A1bua,https://dados.gov.pt/s/brasoes/0616.png
2,0617,Vila Nova de Poiares,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/PRS.png/100px-PRS.png,PRS,https://pt.wikipedia.org/wiki/Vila_Nova_de_Poiares,https://dados.gov.pt/s/brasoes/0617.png
2,0701,Alandroal,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/ADL.png/100px-ADL.png,ADL,https://pt.wikipedia.org/wiki/Alandroal,https://dados.gov.pt/s/brasoes/0701.png
2,0702,Arraiolos,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/ARL.png/100px-ARL.png,ARL,https://pt.wikipedia.org/wiki/Arraiolos,https://dados.gov.pt/s/brasoes/0702.png
2,0703,Borba,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/BRB.png/100px-BRB.png,BRB,https://pt.wikipedia.org/wiki/Borba_(Portugal),https://dados.gov.pt/s/brasoes/0703.png
2,0704,Estremoz,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/ETZ.png/100px-ETZ.png,ETZ,https://pt.wikipedia.org/wiki/Estremoz,https://dados.gov.pt/s/brasoes/0704.png
2,0705,Évora,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/COA_of_%C3%89vora_municipality_%28Portugal%29.png/100px-COA_of_%C3%89vora_municipality_%28Portugal%29.png,EVR,https://pt.wikipedia.org/wiki/%C3%89vora,https://dados.gov.pt/s/brasoes/0705.png
2,0706,Montemor-o-Novo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/MMN1.png/100px-MMN1.png,MMN,https://pt.wikipedia.org/wiki/Montemor-o-Novo,https://dados.gov.pt/s/brasoes/0706.png
2,0707,Mora,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/MOR.png/100px-MOR.png,MOR,https://pt.wikipedia.org/wiki/Mora_(Portugal),https://dados.gov.pt/s/brasoes/0707.png
2,0708,Mourão,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/MOU.png/100px-MOU.png,MOU,https://pt.wikipedia.org/wiki/Mour%C3%A3o,https://dados.gov.pt/s/brasoes/0708.png
2,0709,Portel,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/PRL.png/100px-PRL.png,PRL,https://pt.wikipedia.org/wiki/Portel_(Portugal),https://dados.gov.pt/s/brasoes/0709.png
2,0710,Redondo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/RDD.png/100px-RDD.png,RDD,https://pt.wikipedia.org/wiki/Redondo,https://dados.gov.pt/s/brasoes/0710.png
2,0711,Reguengos de Monsaraz,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/RMZ.png/100px-RMZ.png,RMZ,https://pt.wikipedia.org/wiki/Reguengos_de_Monsaraz,https://dados.gov.pt/s/brasoes/0711.png
2,0712,Vendas Novas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/VND1.png/100px-VND1.png,VND,https://pt.wikipedia.org/wiki/Vendas_Novas,https://dados.gov.pt/s/brasoes/0712.png
2,0713,Viana do Alentejo,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/VNT.png/100px-VNT.png,VNT,https://pt.wikipedia.org/wiki/Viana_do_Alentejo,https://dados.gov.pt/s/brasoes/0713.png
2,0714,Vila Viçosa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/VVC.png/100px-VVC.png,VVC,https://pt.wikipedia.org/wiki/Vila_Vi%C3%A7osa,https://dados.gov.pt/s/brasoes/0714.png
2,0801,Albufeira,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/COA_of_Albufeira_municipality_%28Portugal%29.png/100px-COA_of_Albufeira_municipality_%28Portugal%29.png,ABF,https://pt.wikipedia.org/wiki/Albufeira,https://dados.gov.pt/s/brasoes/0801.png
2,0802,Alcoutim,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Alcoutim_municipality_coat_of_arms.png/100px-Alcoutim_municipality_coat_of_arms.png,ACT,https://pt.wikipedia.org/wiki/Alcoutim,https://dados.gov.pt/s/brasoes/0802.png
